source,participant_ID,target_word,comment,latency,duree_mot,condition,n_phonemes,Offset,Notes,word_duration,transcript,phoneme_count
s102fusee_neut_bmpnaming,s102,fusee,ok,600.137,453.2403158,neut,5,1053,FALSE,452.863,fyz,3
s102fusee_ov2_bmpnaming,s102,fusee,ok,556.783,499.8871496,ov2,5,1050,FALSE,493.217,fyz,3
s102gateau_neut_bmpnaming,s102,gateau,ok,611.113,492.752928,neut,6,1102,FALSE,490.887,ɡato,4
s102gateau_ov2_bmpnaming,s102,gateau,ok,637.454,356.6539305,ov2,6,992,FALSE,354.546,ɡato,4
s102gilet_neut_bmpnaming,s102,gilet,ok,595.746,424.7034292,neut,5,1026,FALSE,430.254,ʒilɛ,4
s102gilet_ov2_bmpnaming,s102,gilet,ok,661.601,468.6063317,ov2,5,1132,FALSE,470.399,ʒilɛ,4
s102girafe_neut_bmpnaming,s102,girafe,ok,566.661,540.4973344,neut,6,1107,FALSE,540.339,ʒiʀaf,5
s102girafe_ov2_bmpnaming,s102,girafe,ok,573.795,646.4130865,ov2,6,1223,FALSE,649.205,ʒiʀaf,5
s102lama_neut_bmpnaming,s102,lama,ok,566.112,375.312664,neut,4,943,FALSE,376.888,lama,4
s102lama_ov2_bmpnaming,s102,lama,ok,624.832,398.910474,ov2,4,1010,FALSE,385.168,lama,4
s102lapin_neut_bmpnaming,s102,lapin,ok,623.186,399.4592603,neut,5,1020,FALSE,396.814,lapɛ̃,4
s102lapin_ov2_bmpnaming,s102,lapin,ok,436.364,351.2232195,ov2,5,789,FALSE,352.636,lapɛ̃,4
s102lezard_neut_bmpnaming,s102,lezard,ok,776.846,603.6077566,neut,6,1382,FALSE,605.154,ləzaʀ,5
s102lezard_ov2_bmpnaming,s102,lezard,ok,537.026,548.1803423,ov2,6,1085,FALSE,547.974,ləzaʀ,5
s102manteau_neut_bmpnaming,s102,manteau,ok,739.528,441.1670176,neut,7,1179,FALSE,439.472,mɑ̃to,4
s102manteau_ov2_bmpnaming,s102,manteau,ok,664.894,469.7039042,ov2,7,1131,FALSE,466.106,mɑ̃to,4
s102marelle_neut_bmpnaming,s102,marelle,ok,605.625,432.3864371,neut,7,1039,FALSE,433.375,maʀɛl,5
s102marelle_ov2_bmpnaming,s102,marelle,ok,511.782,446.1060942,ov2,7,961,FALSE,449.218,maʀɛl,5
s102marin_neut_bmpnaming,s102,marin,ok,563.368,396.7153289,neut,5,963,FALSE,399.632,maʀɛ̃,4
s102marin_ov2_bmpnaming,s102,marin,ok,540.319,369.2760149,ov2,5,904,FALSE,363.681,maʀɛ̃,4
s102marteau_neut_bmpnaming,s102,marteau,ok,608.917,398.3616878,neut,7,1009,FALSE,400.083,maʀto,5
s102marteau_ov2_bmpnaming,s102,marteau,ok,485.989,391.7762524,ov2,7,879,FALSE,393.011,maʀto,5
s102massue_neut_bmpnaming,s102,massue,ok,544.327,436.5011708,neut,6,975,FALSE,430.673,masy,4
s102massue_ov2_bmpnaming,s102,massue,ok,669.491,528.5697167,ov2,6,1189,FALSE,519.509,masy,4
s102miroir_neut_bmpnaming,s102,miroir,ok,575.798,449.728479,neut,6,1135,FALSE,559.202,miʀwaʀ,6
s102miroir_ov2_bmpnaming,s102,miroir,ok,570.838,590.8482928,ov2,6,1156,FALSE,585.162,miʀwaʀ,6
s102momie_neut_bmpnaming,s102,momie,ok,592.636,373.6714568,neut,5,965,FALSE,372.364,mɔmi,4
s102momie_ov2_bmpnaming,s102,momie,ok,592.5,364.8532513,ov2,5,953,FALSE,360.5,mɔmi,4
s102motard_neut_bmpnaming,s102,motard,ok,596.466,660.5672298,neut,6,1203,FALSE,606.534,mɔtaʀ,5
s102motard_ov2_bmpnaming,s102,motard,ok,567.008,540.1150851,ov2,6,1033,FALSE,465.992,mɔtaʀ,5
s102moulin_neut_bmpnaming,s102,moulin,ok,556.125,330.6827051,neut,6,882,FALSE,325.875,mulɛ̃,4
s102moulin_ov2_bmpnaming,s102,moulin,ok,665.296,389.1033164,ov2,6,1052,FALSE,386.704,mulɛ̃,4
s102panier_neut_bmpnaming,s102,panier,ok,665.634,365.9840533,neut,6,1029,FALSE,363.366,pɑ̃jəʀ,5
s102panier_ov2_bmpnaming,s102,panier,ok,540.381,372.5691811,ov2,6,909,FALSE,368.619,pɑ̃jəʀ,5
s102pigeon_neut_bmpnaming,s102,pigeon,ok,638.628,361.0238128,neut,6,998,FALSE,359.372,piʒəɔ̃,5
s102pigeon_ov2_bmpnaming,s102,pigeon,ok,447.789,364.8532513,ov2,6,812,FALSE,364.211,piʒəɔ̃,5
s102piscine_neut_bmpnaming,s102,piscine,ok,842.549,512.0355814,neut,7,1351,FALSE,508.451,pizin,5
s102piscine_ov2_bmpnaming,s102,piscine,ok,651.304,501.5639624,ov2,7,1153,FALSE,501.696,pizin,5
s102poisson_neut_bmpnaming,s102,poisson,ok,722.401,407.3193915,neut,7,1125,FALSE,402.599,pwasɔ̃,5
